"hear","age","gender"
"Yanny",4,"F"
"Yanny",5,"F"
"Yanny",7,"M"
"Laurel",7,"M"
"Yanny",8,"F"
"Yanny",8,"F"
"Laurel",9,"M"
"Laurel",9,"F"
"Laurel",10,"F"
"Yanny",10,"F"
"Yanny",10,"F"
"Yanny",10,"M"
"Yanny",12,"M"
"Yanny",12,"M"
"Yanny",12,"M"
"Yanny",13,"M"
"Laurel",13,"M"
"Yanny",13,"F"
"Laurel",14,"F"
"Yanny",14,"F"
"Yanny",15,"M"
"Laurel",16,"F"
"Yanny",17,"F"
"Yanny",22,"F"
"Yanny",23,"M"
"Yanny",23,"M"
"Laurel",23,"M"
"Yanny",24,"M"
"Yanny",25,"M"
"Yanny",25,"F"
"Yanny",26,"M"
"Yanny",27,"M"
"Yanny",28,"M"
"Yanny",28,"M"
"Yanny",28,"M"
"Yanny",28,"F"
"Laurel",28,"M"
"Laurel",28,"M"
"Laurel",29,"M"
"Yanny",29,"M"
"Yanny",29,"M"
"Yanny",30,"F"
"Laurel",30,"F"
"Yanny",30,"M"
"Yanny",30,"M"
"Yanny",30,"M"
"Laurel",30,"M"
"Laurel",30,"M"
"Yanny",31,"F"
"Yanny",31,"M"
"Laurel",31,"M"
"Laurel",31,"M"
"Laurel",31,"M"
"Yanny",32,"F"
"Yanny",32,"F"
"Yanny",32,"M"
"Laurel",32,"M"
"Laurel",32,"M"
"Laurel",32,"M"
"Yanny",32,"M"
"Yanny",33,"M"
"Yanny",33,"M"
"Yanny",33,"M"
"Laurel",33,"M"
"Laurel",33,"M"
"Yanny",34,"F"
"Laurel",34,"F"
"Yanny",34,"M"
"Yanny",34,"M"
"Laurel",34,"M"
"Laurel",34,"M"
"Laurel",34,"M"
"Yanny",35,"F"
"Laurel",35,"F"
"Yanny",35,"M"
"Yanny",35,"M"
"Laurel",35,"M"
"Laurel",35,"M"
"Laurel",35,"M"
"Laurel",35,"M"
"Yanny",36,"F"
"Yanny",36,"F"
"Yanny",36,"M"
"Laurel",36,"M"
"Laurel",36,"M"
"Laurel",36,"M"
"Yanny",37,"M"
"Yanny",37,"M"
"Yanny",37,"M"
"Yanny",37,"M"
"Laurel",37,"M"
"Laurel",37,"M"
"Yanny",38,"F"
"Laurel",38,"F"
"Laurel",38,"F"
"Yanny",38,"M"
"Yanny",38,"M"
"Yanny",38,"M"
"Yanny",38,"M"
"Laurel",38,"M"
"Laurel",38,"M"
"Laurel",38,"M"
"Laurel",38,"M"
"Laurel",39,"F"
"Laurel",39,"M"
"Laurel",39,"M"
"Laurel",39,"M"
"Laurel",39,"M"
"Yanny",40,"F"
"Yanny",40,"M"
"Laurel",40,"M"
"Laurel",40,"M"
"Laurel",41,"F"
"Laurel",41,"M"
"Laurel",41,"M"
"Yanny",41,"M"
"Yanny",41,"M"
"Yanny",42,"F"
"Yanny",42,"M"
"Yanny",42,"M"
"Laurel",42,"M"
"Laurel",42,"M"
"Laurel",43,"F"
"Yanny",43,"M"
"Laurel",43,"M"
"Laurel",43,"M"
"Laurel",43,"M"
"Laurel",43,"M"
"Laurel",44,"F"
"Laurel",44,"M"
"Yanny",44,"M"
"Yanny",44,"M"
"Yanny",45,"F"
"Yanny",45,"F"
"Yanny",45,"F"
"Yanny",45,"M"
"Yanny",45,"M"
"Yanny",45,"M"
"Laurel",45,"M"
"Laurel",45,"M"
"Laurel",45,"M"
"Laurel",45,"M"
"Yanny",46,"M"
"Laurel",46,"M"
"Laurel",46,"M"
"Laurel",46,"M"
"Laurel",46,"M"
"Laurel",47,"F"
"Laurel",47,"M"
"Laurel",47,"M"
"Laurel",47,"M"
"Yanny",47,"M"
"Yanny",47,"M"
"Yanny",47,"M"
"Laurel",48,"F"
"Laurel",48,"M"
"Laurel",49,"F"
"Laurel",49,"M"
"Laurel",49,"M"
"Yanny",49,"M"
"Yanny",49,"M"
"Yanny",50,"F"
"Yanny",50,"M"
"Laurel",50,"M"
"Laurel",50,"M"
"Laurel",50,"M"
"Yanny",51,"F"
"Laurel",51,"F"
"Laurel",52,"F"
"Yanny",52,"M"
"Laurel",53,"M"
"Yanny",54,"F"
"Laurel",55,"F"
"Yanny",55,"F"
"Yanny",55,"M"
"Yanny",55,"M"
"Laurel",56,"F"
"Laurel",56,"M"
"Yanny",57,"M"
"Yanny",58,"F"
"Yanny",58,"M"
"Laurel",61,"F"
"Yanny",61,"M"
"Yanny",61,"M"
"Yanny",62,"F"
"Laurel",62,"M"
"Laurel",62,"M"
"Laurel",62,"M"
"Yanny",63,"F"
"Laurel",63,"M"
"Laurel",63,"M"
"Laurel",63,"M"
"Laurel",64,"F"
"Laurel",64,"M"
"Laurel",65,"M"
"Yanny",65,"M"
"Yanny",65,"M"
"Yanny",72,"M"
